Plot-ID,Bedeckungsgrad_whole_plot,Art_ÅberprÅft
P02,12.7,brachythecium rutabulum
P02,0.3,dicranum scoparium
P02,40.6,hypnum cupressiforme
P02,NA,isothecium myosuroides
P02,0.5,mnium hornum
P02,0.1,ortho dicranum montanum
P02,NA,orthotrichum affine
P02,0.3,ulota crispa
P03,0.1,atrichum undulatum
P03,13.89,brachythecium rutabulum
P03,0.1,bryum capillare
P03,0.1,dicranum scoparium
P03,13.63,hypnum cupressiforme
P03,7.65,isothecium myosuroides
P03,21.86,metzgeria furcata
P03,8.84,orthotrichum affine
P03,0.1,polytrichum formosum
P04,7.55,brachythecium rutabulum
P04,0.1,dicranum scoparium
P04,NA,frullania dilatata
P04,38.99,hypnum cupressiforme
P04,0.1,metzgeria simplex
P04,0.5,mnium hornum
P04,0.5,ortho dicranum montanum
P04,6.16,orthotrichum affine
P04,NA,ulota crispa
P05,0.5,brachythecium rutabulum
P05,0.1,eurhynchium praelongum
P05,22,hypnum cupressiforme
P05,0.3,metzgeria simplex
P05,7.75,orthotrichum affine
P05,62.5,plagiothecium laetum
P06,0.5,atrichum undulatum
P06,16.62,brachythecium rutabulum
P06,0.1,dicranum scoparium
P06,0.5,eurhynchium praelongum
P06,19.14,hypnum cupressiforme
P06,0.1,mnium hornum
P06,10.16,orthotrichum affine
P06,0.5,plagiomnium undulatum
P06,0.3,polytrichum formosum
P06,0.3,polytrichum formosum
P17,0.1,atrichum undulatum
P17,0.1,brachythecium rutabulum
P17,0.1,dicranum scoparium
P17,0.5,eurhynchium praelongum
P17,3,eurhynchium striatum
P17,0.1,herzogiella seligeri
P17,20.24,hypnum cupressiforme
P17,0.1,ortho dicranum montanum
P17,1.2,orthotrichum affine
P17,NA,plagiomnium affine
P17,NA,plagiomnium affine cf.
P18,0.1,eurhynchium striatum
P18,NA,herzogiella seligeri
P18,43.8,hypnum cupressiforme
P18,0.1,plagiothecium laetum
P19,0.1,atrichum undulatum
P19,,brachythecium rutabulum
P19,0.1,dicranum scoparium
P19,3,eurhynchium striatum
P19,NA,herzogiella seligeri
P19,45.25,hypnum cupressiforme
P19,0.1,plagiomnium affine
P19,3,polytrichum formosum
P19,15,rhizomnium punctatum
P19,7.55,rhytidiadelphus squarrosus
P19,3,scleropodium purum
P20,0.5,dicranum scoparium
P20,NA,ditrichum heteromalla cf
P20,0.1,eurhynchium praelongum
P20,5.33,eurhynchium striatum
P20,0.1,herzogiella seligeri
P20,45.25,hypnum cupressiforme
P20,45.25,hypnum cupressiforme
P20,0.5,ortho dicranum montanum
P20,0.5,plagiomnium affine
P20,0.1,rhytidiadelphus squarrosus
P20,15,scleropodium purum
P21,0.5,ceratodon purpureus
P21,0.3,dicranum scoparium
P21,32.75,hypnum cupressiforme
P21,0.1,orthotrichum affine
P21,0.1,polytrichum formosum
P21,15,rhytidiadelphus squarrosus
P21,7.55,scleropodium purum
P22,0.5,atrichum undulatum
P22,5.2,brachythecium rutabulum
P22,0.1,dicranum scoparium
P22,23.62,hypnum cupressiforme
P22,0.1,mnium hornum
P22,0.3,ortho dicranum montanum
P22,0.3,orthotrichum affine
P22,0.3,orthotrichum affine
P22,0.5,polytrichum formosum
P23,0.5,atrichum undulatum
P23,5.33,brachythecium rutabulum
P23,0.1,frullania dilatata
P23,37.5,hypnum cupressiforme
P23,3,isothecium myosuroides
P23,1.75,orthotrichum affine
P23,0.1,polytrichum formosum
P23,0.1,scapania nemorosa cf.
P24,0.1,atrichum undulatum
P24,12.7,brachythecium rutabulum
P24,0.1,dicranum scoparium
P24,41.37,hypnum cupressiforme
P24,0.1,ortho dicranum montanum
P24,0.1,orthotrichum affine
P24,3,polytrichum formosum
P25,3,brachythecium rutabulum
P25,3,dicranum scoparium
P25,3,eurhynchium striatum
P25,37.5,hylocomium splendens
P25,14.7,hypnum cupressiforme
P25,0.1,orthotrichum affine
P25,0.1,pleurozium schreberi
P25,0.3,polytrichum formosum
P25,32.75,rhytidiadelphus squarrosus
P25,0.5,scleropodium purum
P25,0.3,thuidium tamariscinum
P26,7.75,brachythecium rutabulum
P26,3,eurhynchium praelongum
P26,3,eurhynchium striatum
P26,14.62,hypnum cupressiforme
P26,3,polytrichum formosum
P27,37.5,brachythecium rutabulum
P27,0.3,dicranum scoparium
P27,3,eurhynchium striatum
P27,0.3,hypnum cupressiforme
P27,0.1,ortho dicranum montanum
P27,15,plagiomnium undulatum
P27,3,polytrichum formosum
P27,3,scleropodium purum
P28,0.1,atrichum undulatum
P28,29.36,brachythecium rutabulum
P28,0.1,eurhynchium praelongum
P28,1.75,hypnum cupressiforme
P29,62.5,atrichum undulatum
P29,3,brachythecium rutabulum
P29,NA,dicranella heteromalla
P29,5.66,hypnum cupressiforme
P29,3,polytrichum formosum
