Plot-ID,Date,UTM-E,UTM-N,Height,Tree_layer,Shrub_layer,Herb_layer,Soil_layer,Habitat,Comments,Subplot-ID,Tree_species
P26,4.7.19,477251,5632763,255,30,10,70,10,Douglasienforst,Lichtdurchflutet,EP02,Ahorn
P17,2.7.19,477325,5632013,351,40,0,30,70,Douglasienforst,,EP01,Birke
P02,16.5.19,477936,5632190,NA,70,0,0,0,Eichen Buchen Mischwald,Meisten b„ume nur lvl1,EP02,Buche
P03,16.5.19,477770,5632252,NA,80,0,0,0,Eichen Buchen Mischwald,Unterhang,EP02,Buche
P04,16.5.19,477629,5632168,NA,60,0,0,0,Junger Buchenwald,kein SL/RK,EP01,Buche
P05,16.5.19,477632,5632272,NA,90,0,0,0,Junger Buchenwald,dunkel,EP01,Buche
P06,16.5.19,477610,5632193,NA,60,0,0,0,Buchenforst,trocken,EP02,Buche
P22,4.7.19,477965,5632240,NA,80,10,30,0,Junger Eichen Buchen Mischwald,,EP02,Buche
P24,4.7.19,477799,5632353,270,50,10,5,5,Eichen Buchen Mischwald,,EP01,Buche
P23,4.7.19,477853,5632308,NA,85,5,5,5,Eichen Buchen Mischwald,,EP01,Buche 
P17,2.7.19,477325,5632013,351,40,0,30,70,Douglasienforst,,EP02,Douglasie
P17,2.7.19,477325,5632013,351,40,0,30,70,Douglasienforst,,EP03,Douglasie
P18,2.7.19,477324,5632221,301,60,0,0,90,Douglasienforst,,EP01,Douglasie
P19,2.7.19,477222,5632233,331,30,0,80,20,Douglasienforst,Starker Unterwuchs,EP01,Douglasie
P20,2.7.19,477183,5632197,334,30,0,40,30,Douglasienforst,,EP01,Douglasie
P26,4.7.19,477251,5632763,255,30,10,70,10,Douglasienforst,Lichtdurchflutet,EP01,Douglasie
P25,4.7.19,477716,5632425,313,5,10,90,10,Waldlichtung mit Laerchen,Waldlichtung,EP03,Eberesche
P02,16.5.19,477936,5632190,NA,70,0,0,0,Eichen Buchen Mischwald,Meisten b„ume nur lvl1,EP01,Eiche
P03,16.5.19,477770,5632252,NA,80,0,0,0,Eichen Buchen Mischwald,Unterhang,EP01,Eiche
P17,2.7.19,477325,5632013,351,40,0,30,70,Douglasienforst,,EP04,Eiche
P22,4.7.19,477965,5632240,NA,80,10,30,0,Junger Eichen Buchen Mischwald,,EP01,Eiche
P23,4.7.19,477853,5632308,NA,85,5,5,5,Eichen Buchen Mischwald,,EP02,Eiche
P24,4.7.19,477799,5632353,270,50,10,5,5,Eichen Buchen Mischwald,,EP02,Eiche
P06,16.5.19,477610,5632193,NA,60,0,0,0,Buchenforst,trocken,EP01,Fichte
P27,4.7.19,477119,5632272,245,30,10,10,20,Fichtenforst,Lichtdurchflutet,EP01,Fichte
P28,4.7.19,477000,5632787,NA,20,20,80,0,Fichtenforst,Eindeutig Fichte,EP01,Fichte
P29,4.7.19,477105,5632610,256,10,40,80,5,Fichtenforst,Lichtdurchflutet,EP02,Fichte
P29,4.7.19,477105,5632610,256,10,40,80,5,Fichtenforst,Lichtdurchflutet,EP01,Fichte
P25,4.7.19,477716,5632425,313,5,10,90,10,Waldlichtung mit Laerchen,Waldlichtung,EP01,Hainbuche
P03,16.5.19,477770,5632252,NA,80,0,0,0,Eichen Buchen Mischwald,Unterhang,EP03,Hainbuche 
P21,2.7.19,477408,5631622,389,5,5,90,10,Waldlichtung mit Laerchen,,EP01,Laerche
P25,4.7.19,477716,5632425,313,5,10,90,10,Waldlichtung mit Laerchen,Waldlichtung,EP02,Laerche
P02,16.5.19,477936,5632190,NA,70,0,0,0,Eichen Buchen Mischwald,Meisten b„ume nur lvl1,RK01,NA
P02,16.5.19,477936,5632190,NA,70,0,0,0,Eichen Buchen Mischwald,Meisten b„ume nur lvl1,DW01,NA
P03,16.5.19,477770,5632252,NA,80,0,0,0,Eichen Buchen Mischwald,Unterhang,SL01,NA
P03,16.5.19,477770,5632252,NA,80,0,0,0,Eichen Buchen Mischwald,Unterhang,DW01,NA
P04,16.5.19,477629,5632168,NA,60,0,0,0,Junger Buchenwald,kein SL/RK,DW01,NA
P05,16.5.19,477632,5632272,NA,90,0,0,0,Junger Buchenwald,dunkel,DW01,NA
P06,16.5.19,477610,5632193,NA,60,0,0,0,Buchenforst,trocken,SL01,NA
P06,16.5.19,477610,5632193,NA,60,0,0,0,Buchenforst,trocken,DW01,NA
P17,2.7.19,477325,5632013,351,40,0,30,70,Douglasienforst,,SL01,NA
P17,2.7.19,477325,5632013,351,40,0,30,70,Douglasienforst,,DW01,NA
P18,2.7.19,477324,5632221,301,60,0,0,90,Douglasienforst,,DW01,NA
P19,2.7.19,477222,5632233,331,30,0,80,20,Douglasienforst,Starker Unterwuchs,SL01,NA
P19,2.7.19,477222,5632233,331,30,0,80,20,Douglasienforst,Starker Unterwuchs,DW01,NA
