Plot-ID,Subplot-ID,Moos-ID,Full_ID,Habitat_description,Habitat_ID,Tree_level,Department_species_age,Department_ID,Department_age
P02,EP02,M02,P02EP02M02,Eichen Buchen Mischwald,EBF,2,EI168,EI,168
P03,EP02,M01,P03EP02M01,Eichen Buchen Mischwald,EBF,3,EI168,EI,168
P04,EP01,M02,P04EP01M02,Junger Buchenwald,JBF,3,BU40,BU,40
P05,EP01,M02,P05EP01M02,Junger Buchenwald,JBF,2,BU40,BU,40
P06,EP02,M01,P06EP02M01,Buchenforst,BF,3,BU40,BU,40
P17,EP01,M02,P17EP01M02,Douglasienforst,DGF,3,DGL36,DG,36
P18,EP01,M01,P18EP01M01,Douglasienforst,DGF,1,DGL27,DG,27
P19,EP01,M01,P19EP01M01,Douglasienforst,DGF,1,DGL27,DG,27
P20,EP01,M01,P20EP01M01,Douglasienforst,DGF,1,DGL27,DG,27
P21,EP01,M02,P21EP01M02,Waldlichtung mit Laerchen,CLG,1,ELA41,LA,41
P22,EP02,M01,P22EP02M01,Junger Eichen Buchen Mischwald,JEBF,2,EI168,EI,168
P23,EP01,M03,P23EP01M03,Eichen Buchen Mischwald,EBF,2,EI168,EI,168
P24,EP01,M03,P24EP01M03,Eichen Buchen Mischwald,EBF,2,EI168,EI,168
P25,EP03,M02,P25EP03M02,Waldlichtung mit Laerchen,CLG,2,ERL1,CL,1
P26,EP02,M01,P26EP02M01,Douglasienforst,DGF,1,XX,XX,XX
P27,EP01,M01,P27EP01M01,Fichtenforst,FIF,1,FI77,FI,77
P28,EP01,M02,P28EP01M02,Fichtenforst,FIF,1,FI43,FI,43
P29,EP02,M01,P29EP02M01,Fichtenforst,FIF,1,FI77,FI,77
