Plot-ID,Bedeckungsgrad_whole_plot,Art
P02,1,ortho dicranum montanum
P03,1,atrichum undulatum
P03,1,bryum capillare
P03,1,dicranum scoparium
P03,1,polytrichum formosum
P04,1,dicranum scoparium
P04,1,metzgeria simplex
P05,1,eurhynchium praelongum
P06,1,dicranum scoparium
P06,1,mnium hornum
P17,1,atrichum undulatum
P17,1,brachythecium rutabulum
P17,1,dicranum scoparium
P17,1,herzogiella seligeri
P17,1,ortho dicranum montanum
P18,1,eurhynchium striatum
P18,1,plagiothecium laetum
P19,1,atrichum undulatum
P19,1,dicranum scoparium
P19,1,plagiomnium affine
P20,1,eurhynchium praelongum
P20,1,herzogiella seligeri
P20,1,rhytidiadelphus squarrosus
P21,1,orthotrichum affine
P21,1,polytrichum formosum
P22,1,dicranum scoparium
P22,1,mnium hornum
P23,1,frullania dilatata
P23,1,polytrichum formosum
P23,1,scapania nemorosa cf.
P24,1,atrichum undulatum
P24,1,dicranum scoparium
P24,1,ortho dicranum montanum
P24,1,orthotrichum affine
P25,1,orthotrichum affine
P25,1,pleurozium schreberi
P27,1,ortho dicranum montanum
P28,1,atrichum undulatum
P28,1,eurhynchium praelongum
P02,1,dicranum scoparium
P02,1,ulota crispa
P05,1,metzgeria simplex
P06,1,polytrichum formosum
P06,1,polytrichum formosum
P21,1,dicranum scoparium
P22,1,ortho dicranum montanum
P22,1,orthotrichum affine
P22,1,orthotrichum affine
P25,1,polytrichum formosum
P25,1,thuidium tamariscinum
P27,1,dicranum scoparium
P27,1,hypnum cupressiforme
P02,1,mnium hornum
P04,1,mnium hornum
P04,1,ortho dicranum montanum
P05,1,brachythecium rutabulum
P06,1,atrichum undulatum
P06,1,eurhynchium praelongum
P06,1,plagiomnium undulatum
P17,1,eurhynchium praelongum
P20,1,dicranum scoparium
P20,1,ortho dicranum montanum
P20,1,plagiomnium affine
P21,1,ceratodon purpureus
P22,1,atrichum undulatum
P22,1,polytrichum formosum
P23,1,atrichum undulatum
P25,1,scleropodium purum
P17,1,orthotrichum affine
P23,1,orthotrichum affine
P28,1,hypnum cupressiforme
P17,1,eurhynchium striatum
P19,1,eurhynchium striatum
P19,1,polytrichum formosum
P19,1,scleropodium purum
P23,1,isothecium myosuroides
P24,1,polytrichum formosum
P25,1,brachythecium rutabulum
P25,1,dicranum scoparium
P25,1,eurhynchium striatum
P26,1,eurhynchium praelongum
P26,1,eurhynchium striatum
P26,1,polytrichum formosum
P27,1,eurhynchium striatum
P27,1,polytrichum formosum
P27,1,scleropodium purum
P29,1,brachythecium rutabulum
P29,1,polytrichum formosum
P22,1,brachythecium rutabulum
P20,1,eurhynchium striatum
P23,1,brachythecium rutabulum
P29,1,hypnum cupressiforme
P04,1,orthotrichum affine
P04,1,brachythecium rutabulum
P19,1,rhytidiadelphus squarrosus
P21,1,scleropodium purum
P03,1,isothecium myosuroides
P05,1,orthotrichum affine
P26,1,brachythecium rutabulum
P03,1,orthotrichum affine
P06,1,orthotrichum affine
P02,1,brachythecium rutabulum
P24,1,brachythecium rutabulum
P03,1,hypnum cupressiforme
P03,1,brachythecium rutabulum
P26,1,hypnum cupressiforme
P25,1,hypnum cupressiforme
P19,1,rhizomnium punctatum
P20,1,scleropodium purum
P21,1,rhytidiadelphus squarrosus
P27,1,plagiomnium undulatum
P06,1,brachythecium rutabulum
P06,1,hypnum cupressiforme
P17,1,hypnum cupressiforme
P03,1,metzgeria furcata
P05,1,hypnum cupressiforme
P22,1,hypnum cupressiforme
P28,1,brachythecium rutabulum
P21,1,hypnum cupressiforme
P25,1,rhytidiadelphus squarrosus
P23,1,hypnum cupressiforme
P25,1,hylocomium splendens
P27,1,brachythecium rutabulum
P04,1,hypnum cupressiforme
P02,1,hypnum cupressiforme
P24,1,hypnum cupressiforme
P18,1,hypnum cupressiforme
P19,1,hypnum cupressiforme
P20,1,hypnum cupressiforme
P20,1,hypnum cupressiforme
P05,1,plagiothecium laetum
P29,1,atrichum undulatum
