"","atrichum undulatum","brachythecium rutabulum","ceratodon purpureus","dicranella heteromalla","dicranum scoparium","ditrichum heteromalla cf","eurhynchium praelongum","eurhynchium striatum","herzogiella seligeri","hypnum cupressiforme","isothecium myosuroides","metzgeria furcata","mnium hornum","ortho dicranum montanum","orthotrichum affine","plagiomnium affine","plagiothecium laetum","polytrichum formosum","rhytidiadelphus squarrosus","scleropodium purum","thuidium tamariscinum"
"BUP04",0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"BUP05",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"BUP06",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"CLP25",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"DGP17",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"DGP18",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"DGP19",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"DGP20",0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"EIP02",0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"EIP03",0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
"EIP22",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"EIP23",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"EIP24",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FIP27",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FIP28",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FIP29",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"LAP21",0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
"XXP26",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
