"","brachythecium rutabulum","bryum capillare","ceratodon purpureus","dicranum scoparium","eurhynchium striatum","frullania dilatata","hypnum cupressiforme","isothecium myosuroides","metzgeria furcata","metzgeria simplex","mnium hornum","ortho dicranum montanum","orthotrichum affine","plagiothecium laetum","scapania nemorosa cf.","thuidium tamariscinum","ulota crispa","x"
"AS_P26",0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
"BP_P17",0.1,0,0,0,0,0,26,0,0,0,0,0,1.03333333333333,0,0,0,0,0.1
"CB_P03",0.1,0,0,0,0,0,5.33333333333333,0,2.5,0,0,0,10.8333333333333,0,0,0,0,0.3
"CB_P25",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"FS_P02",0.1,0,0,0,0,0,26.25,0.1,0,0,0,0,0.1,0,0,0,0.3,0.1
"FS_P03",15,0,0,0,0,0,8.75,0.5,0,0,0,0,0.1,0,0,0,0,18.8
"FS_P04",0.1,0,0,0,0,0.1,22.5,0,0,0.1,0,0,6,0,0,0,0.1,0.1
"FS_P05",0.5,0,0,0,0,0,1.5,0,0,0.3,0,0,7.75,0,0,0,0,0
"FS_P06",0.5,0,0,0,0,0,22.5,0,0,0,0,0,10.1666666666667,0,0,0,0,0
"FS_P22",0,0,0,0,0,0,8.75,0,0,0,0,0.1,0.3,0,0,0,0,0
"FS_P23",0,0,0,0,0,0.1,7.75,0,0,0,0,0,1.5,0,0.1,0,0,0
"FS_P24",0,0,0,0.1,0,0,62.5,0,0,0,0,0.1,0.1,0,0,0,0,0
"LD_P21",0,0,0.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
"LD_P25",0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0.1,0,0
"PA_P06",0.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
"PA_P27",0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0,0
"PA_P28",0.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
"PA_P29",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"PM_P17",0,0,0,0.1,0,0,2.5,0,0,0,0,0.1,0,0,0,0,0,0
"PM_P18",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0
"PM_P19",0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
"PM_P20",0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
"QP_P02",0.5,0,0,0.1,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0
"QP_P03",2.5,0.1,0,0,0,0,18.8,15,62.5,0,0,0,0,0,0,0,0,0.1
"QP_P17",0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0
"QP_P22",0.1,0,0,0.1,0,0,37.5,0,0,0,0.1,0.5,0,0,0,0,0,0
"QP_P23",0.5,0,0,0,0,0,20,2.5,0,0,0,0,0,0,0,0,0,0
"QP_P24",0.5,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0
"SA_P25",0,0,0,0,2.5,0,20,0,0,0,0,0,0.1,0,0,0,0,0
"XXP26",0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0
