"","atrichum undulatum","brachythecium rutabulum","dicranum scoparium","eurhynchium praelongum","eurhynchium striatum","herzogiella seligeri","hylocomium splendens","hypnum cupressiforme","isothecium myosuroides","mnium hornum","plagiomnium affine","plagiomnium affine cf.","plagiomnium undulatum","pleurozium schreberi","polytrichum formosum","rhizomnium punctatum","rhytidiadelphus squarrosus","scleropodium purum"
"CL_P25",0,0,2.5,0,2.5,0,37.5,0,0,0,0,0,0,0.1,0.1,0,2.5,0.5
"FS_P06",0.5,2.5,0.1,0.5,0,0,0,0.5,0,0.1,0,0,0.5,0,0.5,0,0,0
"LD_P21",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
"PA_P27",0,37.5,0.5,0,2.5,0,0,0.1,0,0,0,0,15,0,2.5,0,0,2.5
"PA_P28",0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PA_P29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
"PM_P17",0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0
"PM_P19",0.1,0,0.1,0,2.5,0.1,0,0,0,0,0,0,0,0,2.5,15,15,2.5
"PM_P20",0,0,0,0.1,15,0.1,0,0,0,0,0.5,0,0,0,0,0,0.1,15
"QP_P03",0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0
"QP_P22",0.5,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0.5,0,0,0
"QP_P23",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"QP_P24",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
"XX_P26",0,0.5,0,2.5,2.5,0,0,0,0,0,0,0,0,0,2.5,0,0,0
