"","atrichum undulatum","brachythecium rutabulum","dicranum scoparium","eurhynchium praelongum","eurhynchium striatum","herzogiella seligeri","hylocomium splendens","hypnum cupressiforme","isothecium myosuroides","mnium hornum","plagiomnium affine","plagiomnium affine cf.","plagiomnium undulatum","pleurozium schreberi","polytrichum formosum","rhizomnium punctatum","rhytidiadelphus squarrosus","scleropodium purum"
"BUP06",1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
"CLP25",0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1
"DGP17",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"DGP19",1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1
"DGP20",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
"EIP03",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"EIP22",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"EIP23",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"EIP24",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"FIP27",0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
"FIP28",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIP29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LAP21",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"XXP26",0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
