"","BUP06","CLP25","DGP17","DGP19","DGP20","EIP03","EIP22","EIP23","EIP24","FIP27","FIP28","FIP29","LAP21","XXP26"
"atrichum undulatum","+","0","r","r","0","r","+","+","r","0","r","0","0","0"
"brachythecium rutabulum","1","0","r","0","0","0","+","+","r","3","r","0","0","+"
"dicranum scoparium","r","1","0","r","0","0","0","0","0","+","0","0","+","0"
"eurhynchium praelongum","+","0","0","0","r","0","0","0","0","0","r","0","0","1"
"eurhynchium striatum","0","1","0","1","2","0","0","0","0","1","0","0","0","1"
"herzogiella seligeri","0","0","0","r","r","0","0","0","0","0","0","0","0","0"
"hylocomium splendens","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"hypnum cupressiforme","+","0","0","0","0","0","r","0","0","r","0","0","0","0"
"isothecium myosuroides","0","0","0","0","0","r","0","0","0","0","0","0","0","0"
"mnium hornum","r","0","0","0","0","0","0","0","0","0","0","0","0","0"
"plagiomnium affine","0","0","r","0","+","0","0","0","0","0","0","0","0","0"
"plagiomnium affine cf.","0","0","r","0","0","0","0","0","0","0","0","0","0","0"
"plagiomnium undulatum","+","0","0","0","0","0","0","0","0","2","0","0","0","0"
"pleurozium schreberi","0","r","0","0","0","0","0","0","0","0","0","0","0","0"
"polytrichum formosum","+","r","0","1","0","r","+","r","1","1","0","1","0","1"
"rhizomnium punctatum","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"rhytidiadelphus squarrosus","0","1","0","2","r","0","0","0","0","0","0","0","2","0"
"scleropodium purum","0","+","0","1","2","0","0","0","0","1","0","0","2","0"
