"","MP /18","SL /14","DW /18","EP /30","MPp","SLp","DWp","EPp","MP_cov","SL_cov","DW_cov","EP_cov"
"atrichum.undulatum",9,8,1,NA,0.5,0.57,0.06,NA,64.5,2,62.5,NA
"brachythecium.rutabulum",15,8,12,14,0.83,0.57,0.67,0.47,154.075,41.8,327.6,21.5
"bryum.capillare",1,NA,NA,1,0.06,NA,NA,0.03,0.1,NA,NA,0.1
"ceratodon.purpureus",1,NA,1,1,0.06,NA,0.06,0.03,0.5,NA,0.5,0.5
"dicranella.heteromalla",1,NA,1,NA,0.06,NA,0.06,NA,0.1,NA,0.1,NA
"dicranum.scoparium",12,5,9,4,0.67,0.36,0.5,0.13,4.6,3.7,4.1,0.4
"ditrichum.heteromalla.cf",1,NA,1,NA,0.06,NA,0.06,NA,0.1,NA,0.1,NA
"eurhynchium.praelongum",6,4,2,NA,0.33,0.29,0.11,NA,3.8,3.2,0.6,NA
"eurhynchium.striatum",7,5,3,1,0.39,0.36,0.17,0.03,17.9333333333333,25,3.6,2.5
"frullania.dilatata",2,NA,NA,2,0.11,NA,NA,0.07,0.2,NA,NA,0.2
"herzogiella.seligeri",4,2,2,NA,0.22,0.14,0.11,NA,0.4,0.2,0.2,NA
"hylocomium.splendens",1,1,NA,NA,0.06,0.07,NA,NA,37.5,37.5,NA,NA
"hypnum.cupressiforme",18,3,17,30,1,0.21,0.94,1,460.366428571429,0.7,978.5,410.983333333333
"isothecium.myosuroides",3,1,1,4,0.17,0.07,0.06,0.13,10.25,0.1,15,18.1
"metzgeria.furcata",1,NA,1,2,0.06,NA,0.06,0.07,21.7,NA,0.1,65
"metzgeria.simplex",2,NA,NA,2,0.11,NA,NA,0.07,0.4,NA,NA,0.4
"mnium.hornum",4,1,2,1,0.22,0.07,0.11,0.03,1.2,0.1,1,0.1
"ortho.dicranum.montanum",7,NA,3,5,0.39,NA,0.17,0.17,1.7,NA,1.1,0.9
"orthotrichum.affine",11,NA,2,11,0.61,NA,0.11,0.37,33.69,NA,0.2,37.9833333333333
"plagiomnium.affine",3,2,1,NA,0.17,0.14,0.06,NA,0.7,0.6,0.1,NA
"plagiomnium.affine.cf.",1,1,NA,NA,0.06,0.07,NA,NA,0.1,0.1,NA,NA
"plagiomnium.undulatum",2,2,NA,NA,0.11,0.14,NA,NA,15.5,15.5,NA,NA
"plagiothecium.laetum",2,NA,2,1,0.11,NA,0.11,0.03,62.6,NA,62.6,0.1
"pleurozium.schreberi",1,1,NA,NA,0.06,0.07,NA,NA,0.1,0.1,NA,NA
"polytrichum.formosum",11,10,4,NA,0.61,0.71,0.22,NA,13.9,13.8,0.8,NA
"rhizomnium.punctatum",1,1,NA,NA,0.06,0.07,NA,NA,15,15,NA,NA
"rhytidiadelphus.squarrosus",4,4,2,NA,0.22,0.29,0.11,NA,55.15,32.6,62.6,NA
"scapania.nemorosa.cf.",1,NA,NA,1,0.06,NA,NA,0.03,0.1,NA,NA,0.1
"scleropodium.purum",5,5,1,NA,0.28,0.36,0.06,NA,28.05,35.5,0.1,NA
"thuidium.tamariscinum",1,NA,1,1,0.06,NA,0.06,0.03,0.3,NA,0.5,0.1
"ulota.crispa",2,NA,NA,2,0.11,NA,NA,0.07,0.4,NA,NA,0.4
"x",4,NA,NA,6,0.22,NA,NA,0.2,7.96,NA,NA,19.5
"Richness",32,18,21,18,NA,NA,NA,NA,NA,NA,NA,NA
