"","ID","Sub","level","cover","spec","treetyp","dep_ID"
"1","P02","EP02",1,0.1,"brachythecium rutabulum","FS_","EI"
"2","P02","EP02",2,15,"hypnum cupressiforme","FS_","EI"
"3","P02","EP02",1,37.5,"hypnum cupressiforme","FS_","EI"
"4","P02","EP02",1,0.1,"isothecium myosuroides","FS_","EI"
"5","P02","EP02",1,0.1,"orthotrichum affine","FS_","EI"
"6","P02","EP02",2,0.5,"ulota crispa","FS_","EI"
"7","P02","EP02",1,0.1,"ulota crispa","FS_","EI"
"8","P02","EP02",1,0.1,"x","FS_","EI"
"10","P02","EP02",NA,0.1,"x","FS_","EI"
"11","P02","EP01",1,0.5,"brachythecium rutabulum","QP_","EI"
"12","P02","EP01",1,0.1,"dicranum scoparium","QP_","EI"
"13","P02","EP01",2,0.5,"hypnum cupressiforme","QP_","EI"
"14","P02","EP01",1,62.5,"hypnum cupressiforme","QP_","EI"
"15","P02","DW01",NA,37.5,"brachythecium rutabulum",NA,"EI"
"16","P02","DW01",NA,0.5,"dicranum scoparium",NA,"EI"
"17","P02","DW01",NA,87.5,"hypnum cupressiforme",NA,"EI"
"18","P02","DW01",NA,0.5,"mnium hornum",NA,"EI"
"19","P02","DW01",NA,0.1,"ortho dicranum montanum",NA,"EI"
"20","P03","EP02",1,15,"brachythecium rutabulum","FS_","EI"
"21","P03","EP02",2,2.5,"hypnum cupressiforme","FS_","EI"
"22","P03","EP02",1,15,"hypnum cupressiforme","FS_","EI"
"23","P03","EP02",1,0.5,"isothecium myosuroides","FS_","EI"
"24","P03","EP02",2,0.1,"orthotrichum affine","FS_","EI"
"25","P03","EP02",2,0.1,"x","FS_","EI"
"26","P03","EP02",2,37.5,"x","FS_","EI"
"27","P03","EP01",1,2.5,"brachythecium rutabulum","QP_","EI"
"28","P03","EP01",1,0.1,"bryum capillare","QP_","EI"
"29","P03","EP01",2,0.1,"hypnum cupressiforme","QP_","EI"
"30","P03","EP01",1,37.5,"hypnum cupressiforme","QP_","EI"
"31","P03","EP01",1,15,"isothecium myosuroides","QP_","EI"
"32","P03","EP01",1,62.5,"metzgeria furcata","QP_","EI"
"33","P03","EP01",1,0.1,"x","QP_","EI"
"34","P03","EP03",1,0.1,"brachythecium rutabulum","CB_","EI"
"35","P03","EP03",1,15,"hypnum cupressiforme","CB_","EI"
"36","P03","EP03",2,0.5,"hypnum cupressiforme","CB_","EI"
"37","P03","EP03",3,0.5,"hypnum cupressiforme","CB_","EI"
"38","P03","EP03",1,2.5,"metzgeria furcata","CB_","EI"
"39","P03","EP03",3,2.5,"orthotrichum affine","CB_","EI"
"40","P03","EP03",1,15,"orthotrichum affine","CB_","EI"
"41","P03","EP03",2,15,"orthotrichum affine","CB_","EI"
"42","P03","EP03",1,0.5,"x","CB_","EI"
"43","P03","EP03",2,0.1,"x","CB_","EI"
"44","P03","DW01",NA,37.5,"brachythecium rutabulum",NA,"EI"
"45","P03","DW01",NA,0.1,"dicranum scoparium",NA,"EI"
"46","P03","DW01",NA,37.5,"hypnum cupressiforme",NA,"EI"
"47","P03","DW01",NA,15,"isothecium myosuroides",NA,"EI"
"48","P03","DW01",NA,0.1,"metzgeria furcata",NA,"EI"
"49","P03","DW01",NA,0.1,"orthotrichum affine",NA,"EI"
"50","P03","DW01",NA,0.1,"polytrichum formosum",NA,"EI"
"51","P03","SL01",NA,0.1,"atrichum undulatum",NA,"EI"
"52","P03","SL01",NA,0.1,"isothecium myosuroides",NA,"EI"
"53","P03","SL01",NA,0.1,"polytrichum formosum",NA,"EI"
"54","P04","EP01",1,0.1,"brachythecium rutabulum","FS_","BU"
"55","P04","EP01",1,0.1,"frullania dilatata","FS_","BU"
"56","P04","EP01",2,2.5,"hypnum cupressiforme","FS_","BU"
"57","P04","EP01",3,2.5,"hypnum cupressiforme","FS_","BU"
"58","P04","EP01",1,62.5,"hypnum cupressiforme","FS_","BU"
"59","P04","EP01",2,0.1,"metzgeria simplex","FS_","BU"
"60","P04","EP01",2,2.5,"orthotrichum affine","FS_","BU"
"61","P04","EP01",3,15,"orthotrichum affine","FS_","BU"
"62","P04","EP01",1,0.5,"orthotrichum affine","FS_","BU"
"63","P04","EP01",1,0.1,"ulota crispa","FS_","BU"
"64","P04","EP01",2,0.1,"x","FS_","BU"
"65","P04","EP01",3,0.1,"x","FS_","BU"
"66","P04","DW01",NA,15,"brachythecium rutabulum",NA,"BU"
"67","P04","DW01",NA,0.1,"dicranum scoparium",NA,"BU"
"68","P04","DW01",NA,87.5,"hypnum cupressiforme",NA,"BU"
