"","CL_P25","FS_P04","FS_P05","FS_P06","LD_P21","PA_P27","PA_P28","PA_P29","PM_P17","PM_P18","PM_P19","PM_P20","QP_P02","QP_P03","QP_P22","QP_P23","QP_P24","XX_P26"
"atrichum undulatum"," "," "," "," "," "," "," ","4"," "," "," "," "," "," "," "," "," "," "
"brachythecium rutabulum","1","2"," ","4"," "," ","5","1"," "," ","r"," ","3","3","2","2","3","2"
"ceratodon purpureus"," "," "," "," ","+"," "," "," "," "," "," "," "," "," "," "," "," "," "
"dicranella heteromalla"," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "
"dicranum scoparium","1","r"," ","r","r","r"," "," "," "," "," ","+","+","r"," "," ","r"," "
"ditrichum heteromalla cf"," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "
"eurhynchium praelongum"," "," ","r"," "," "," "," "," ","+"," "," "," "," "," "," "," "," "," "
"eurhynchium striatum"," "," "," "," "," "," "," "," ","1","r"," ","+"," "," "," "," "," "," "
"herzogiella seligeri"," "," "," "," "," "," "," "," ","r","r"," "," "," "," "," "," "," "," "
"hypnum cupressiforme"," ","5","4","4","4","4","+","2","4","5","5","5","5","3","4","3","3","3"
"isothecium myosuroides"," "," "," "," "," "," "," "," "," "," "," "," "," ","2"," "," "," "," "
"metzgeria furcata"," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "
"mnium hornum"," ","+"," "," "," "," "," "," "," "," "," "," ","+"," "," "," "," "," "
"ortho dicranum montanum"," ","+"," "," "," "," "," "," "," "," "," ","+","r"," "," "," "," "," "
"orthotrichum affine"," "," "," "," ","r"," "," "," "," "," "," "," "," ","r"," "," "," "," "
"plagiomnium affine"," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "
"plagiothecium laetum"," "," ","4"," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "
"polytrichum formosum","+"," "," ","r","r"," "," "," "," "," "," "," "," ","r"," "," "," "," "
"rhytidiadelphus squarrosus","4"," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "
"scleropodium purum"," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "
"thuidium tamariscinum","+"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
