"","AS_P26","BP_P17","CB_P03","CB_P25","FS_P02","FS_P03","FS_P04","FS_P05","FS_P06","FS_P22","FS_P23","FS_P24","LD_P21","LD_P25","PA_P06","PA_P27","PA_P28","PA_P29","PM_P17","PM_P18","PM_P19","PM_P20","QP_P02","QP_P03","QP_P17","QP_P22","QP_P23","QP_P24","SA_P25","XXP26"
"brachythecium rutabulum"," ","r","r"," ","r","2","r","+","+"," "," "," "," "," ","+"," ","+"," "," "," "," "," ","+","1"," ","r","+","+"," "," "
"bryum capillare"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "
"ceratodon purpureus"," "," "," "," "," "," "," "," "," "," "," "," ","+"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"dicranum scoparium"," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," ","r"," "," "," ","r"," "," ","r"," "," "," "," "
"eurhynchium striatum"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1"," "
"frullania dilatata"," "," "," "," "," "," ","r"," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"hypnum cupressiforme","1","2","1","2","2","1","2","+","2","1","1","4","1","1","1","+","1","+","1","r","1","1","2","2","1","3","2","2","2","1"
"isothecium myosuroides"," "," "," "," ","r","+"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","2"," "," ","1"," "," "," "
"metzgeria furcata"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","4"," "," "," "," "," "," "
"metzgeria simplex"," "," "," "," "," "," ","r","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"mnium hornum"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "
"ortho dicranum montanum"," "," "," "," "," "," "," "," "," ","r"," ","r"," "," "," ","r"," "," ","r"," "," "," "," "," "," ","+"," "," "," "," "
"orthotrichum affine"," ","+","1"," ","r","r","1","1","1","r","+","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "
"plagiothecium laetum"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "
"scapania nemorosa cf."," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"thuidium tamariscinum"," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"ulota crispa"," "," "," "," ","r"," ","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"x"," ","r","r"," ","r","2","r"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","r"," "," "," "," "," "," "
