"","CL_P25","FS_P06","LD_P21","PA_P27","PA_P28","PA_P29","PM_P17","PM_P19","PM_P20","QP_P03","QP_P22","QP_P23","QP_P24","XX_P26"
"atrichum undulatum"," ","+"," "," ","r"," ","r","r"," ","r","+","+","r"," "
"brachythecium rutabulum"," ","1"," ","3","r"," ","r"," "," "," ","+","+","r","+"
"dicranum scoparium","1","r","+","+"," "," "," ","r"," "," "," "," "," "," "
"eurhynchium praelongum"," ","+"," "," ","r"," "," "," ","r"," "," "," "," ","1"
"eurhynchium striatum","1"," "," ","1"," "," "," ","1","2"," "," "," "," ","1"
"herzogiella seligeri"," "," "," "," "," "," "," ","r","r"," "," "," "," "," "
"hylocomium splendens","3"," "," "," "," "," "," "," "," "," "," "," "," "," "
"hypnum cupressiforme"," ","+"," ","r"," "," "," "," "," "," ","r"," "," "," "
"isothecium myosuroides"," "," "," "," "," "," "," "," "," ","r"," "," "," "," "
"mnium hornum"," ","r"," "," "," "," "," "," "," "," "," "," "," "," "
"plagiomnium affine"," "," "," "," "," "," ","r"," ","+"," "," "," "," "," "
"plagiomnium affine cf."," "," "," "," "," "," ","r"," "," "," "," "," "," "," "
"plagiomnium undulatum"," ","+"," ","2"," "," "," "," "," "," "," "," "," "," "
"pleurozium schreberi","r"," "," "," "," "," "," "," "," "," "," "," "," "," "
"polytrichum formosum","r","+"," ","1"," ","1"," ","1"," ","r","+","r","1","1"
"rhizomnium punctatum"," "," "," "," "," "," "," ","2"," "," "," "," "," "," "
"rhytidiadelphus squarrosus","1"," ","2"," "," "," "," ","2","r"," "," "," "," "," "
"scleropodium purum","+"," ","2","1"," "," "," ","1","2"," "," "," "," "," "
