Plot-ID,Bedeckungsgrad_whole_plot,Art
P02,0.1,ortho dicranum montanum
P03,0.1,atrichum undulatum
P03,0.1,bryum capillare
P03,0.1,dicranum scoparium
P03,0.1,polytrichum formosum
P04,0.1,dicranum scoparium
P04,0.1,metzgeria simplex
P05,0.1,eurhynchium praelongum
P06,0.1,dicranum scoparium
P06,0.1,mnium hornum
P17,0.1,atrichum undulatum
P17,0.1,brachythecium rutabulum
P17,0.1,dicranum scoparium
P17,0.1,herzogiella seligeri
P17,0.1,ortho dicranum montanum
P18,0.1,eurhynchium striatum
P18,0.1,plagiothecium laetum
P19,0.1,atrichum undulatum
P19,0.1,dicranum scoparium
P19,0.1,plagiomnium affine
P20,0.1,eurhynchium praelongum
P20,0.1,herzogiella seligeri
P20,0.1,rhytidiadelphus squarrosus
P21,0.1,orthotrichum affine
P21,0.1,polytrichum formosum
P22,0.1,dicranum scoparium
P22,0.1,mnium hornum
P23,0.1,frullania dilatata
P23,0.1,polytrichum formosum
P23,0.1,scapania nemorosa cf.
P24,0.1,atrichum undulatum
P24,0.1,dicranum scoparium
P24,0.1,ortho dicranum montanum
P24,0.1,orthotrichum affine
P25,0.1,orthotrichum affine
P25,0.1,pleurozium schreberi
P27,0.1,ortho dicranum montanum
P28,0.1,atrichum undulatum
P28,0.1,eurhynchium praelongum
P02,0.3,dicranum scoparium
P02,0.3,ulota crispa
P05,0.3,metzgeria simplex
P06,0.3,polytrichum formosum
P06,0.3,polytrichum formosum
P21,0.3,dicranum scoparium
P22,0.3,ortho dicranum montanum
P22,0.3,orthotrichum affine
P22,0.3,orthotrichum affine
P25,0.3,polytrichum formosum
P25,0.3,thuidium tamariscinum
P27,0.3,dicranum scoparium
P27,0.3,hypnum cupressiforme
P02,0.5,mnium hornum
P04,0.5,mnium hornum
P04,0.5,ortho dicranum montanum
P05,0.5,brachythecium rutabulum
P06,0.5,atrichum undulatum
P06,0.5,eurhynchium praelongum
P06,0.5,plagiomnium undulatum
P17,0.5,eurhynchium praelongum
P20,0.5,dicranum scoparium
P20,0.5,ortho dicranum montanum
P20,0.5,plagiomnium affine
P21,0.5,ceratodon purpureus
P22,0.5,atrichum undulatum
P22,0.5,polytrichum formosum
P23,0.5,atrichum undulatum
P25,0.5,scleropodium purum
P17,1.2,orthotrichum affine
P23,1.75,orthotrichum affine
P28,1.75,hypnum cupressiforme
P17,3,eurhynchium striatum
P19,3,eurhynchium striatum
P19,3,polytrichum formosum
P19,3,scleropodium purum
P23,3,isothecium myosuroides
P24,3,polytrichum formosum
P25,3,brachythecium rutabulum
P25,3,dicranum scoparium
P25,3,eurhynchium striatum
P26,3,eurhynchium praelongum
P26,3,eurhynchium striatum
P26,3,polytrichum formosum
P27,3,eurhynchium striatum
P27,3,polytrichum formosum
P27,3,scleropodium purum
P29,3,brachythecium rutabulum
P29,3,polytrichum formosum
P22,5.2,brachythecium rutabulum
P20,5.33,eurhynchium striatum
P23,5.33,brachythecium rutabulum
P29,5.66,hypnum cupressiforme
P04,6.16,orthotrichum affine
P04,7.55,brachythecium rutabulum
P19,7.55,rhytidiadelphus squarrosus
P21,7.55,scleropodium purum
P03,7.65,isothecium myosuroides
P05,7.75,orthotrichum affine
P26,7.75,brachythecium rutabulum
P03,8.84,orthotrichum affine
P06,10.16,orthotrichum affine
P02,12.7,brachythecium rutabulum
P24,12.7,brachythecium rutabulum
P03,13.63,hypnum cupressiforme
P03,13.89,brachythecium rutabulum
P26,14.62,hypnum cupressiforme
P25,14.7,hypnum cupressiforme
P19,15,rhizomnium punctatum
P20,15,scleropodium purum
P21,15,rhytidiadelphus squarrosus
P27,15,plagiomnium undulatum
P06,16.62,brachythecium rutabulum
P06,19.14,hypnum cupressiforme
P17,20.24,hypnum cupressiforme
P03,21.86,metzgeria furcata
P05,22,hypnum cupressiforme
P22,23.62,hypnum cupressiforme
P28,29.36,brachythecium rutabulum
P21,32.75,hypnum cupressiforme
P25,32.75,rhytidiadelphus squarrosus
P23,37.5,hypnum cupressiforme
P25,37.5,hylocomium splendens
P27,37.5,brachythecium rutabulum
P04,38.99,hypnum cupressiforme
P02,40.6,hypnum cupressiforme
P24,41.37,hypnum cupressiforme
P18,43.8,hypnum cupressiforme
P19,45.25,hypnum cupressiforme
P20,45.25,hypnum cupressiforme
P20,45.25,hypnum cupressiforme
P05,62.5,plagiothecium laetum
P29,62.5,atrichum undulatum
