"","DW01P02","DW01P03","DW01P04","DW01P05","DW01P06","DW01P17","DW01P18","DW01P19","DW01P20","DW01P21","DW01P22","DW01P23","DW01P24","DW01P25","DW01P26","DW01P27","DW01P28","DW01P29","EP01P02","EP01P03","EP01P04","EP01P05","EP01P06","EP01P17","EP01P18","EP01P19","EP01P20","EP01P21","EP01P22","EP01P23","EP01P24","EP01P25","EP01P26","EP01P27","EP01P28","EP01P29","EP02P02","EP02P03","EP02P06","EP02P17","EP02P22","EP02P23","EP02P24","EP02P25","EP02P26","EP02P29","EP03P03","EP03P17","EP03P25","EP04P17","SL01P03","SL01P06","SL01P17","SL01P19","SL01P20","SL01P21","SL01P22","SL01P23","SL01P24","SL01P25","SL01P26","SL01P27","SL01P28","SL01P29"
"atrichum undulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,500,100,100,0,0,500,500,100,0,0,0,100,0
"brachythecium rutabulum",3000,3000,2000,0,4000,0,0,100,0,0,2000,2000,3000,1000,2000,0,5000,1000,500,1000,100,500,500,100,0,0,0,0,100,0,0,0,0,0,500,0,100,2000,500,0,0,500,500,0,0,0,100,0,0,0,0,1000,100,0,0,0,500,500,100,0,500,3000,100,0
"bryum capillare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceratodon purpureus",0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dicranella heteromalla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dicranum scoparium",500,100,100,0,100,0,0,0,500,100,0,0,100,1000,0,100,0,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,500,0,0,0,1000,0,500,0,0
"ditrichum heteromalla cf",0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eurhynchium praelongum",0,0,0,100,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,100,0,0,0,0,0,1000,0,100,0
"eurhynchium striatum",0,0,0,0,0,1000,100,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,1000,2000,0,0,0,0,1000,1000,1000,0,0
"frullania dilatata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"herzogiella seligeri",0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0
"hylocomium splendens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0
"hypnum cupressiforme",5000,3000,5000,4000,2000,4000,5000,5000,5000,4000,4000,3000,3000,0,3000,4000,500,2000,2000,2000,2000,500,1000,2000,100,1000,1000,1000,3000,1000,4000,2000,1000,500,1000,500,2000,1000,2000,1000,1000,2000,2000,1000,1000,500,1000,1000,2000,1000,0,500,0,0,0,0,100,0,0,0,0,100,0,0
"isothecium myosuroides",0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,500,0,0,0,1000,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"metzgeria furcata",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"metzgeria simplex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mnium hornum",500,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
"ortho dicranum montanum",100,0,500,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,100,0,0,100,0,0,0,0,0,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"orthotrichum affine",0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1000,1000,0,500,0,0,0,0,0,500,100,0,0,0,0,0,100,100,1000,0,100,0,0,0,0,0,1000,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plagiomnium affine",0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,500,0,0,0,0,0,0,0,0,0
"plagiomnium affine cf.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"plagiomnium undulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,2000,0,0
"plagiothecium laetum",0,0,0,4000,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pleurozium schreberi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"polytrichum formosum",0,100,0,0,100,0,0,0,0,100,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,500,0,1000,0,0,500,100,1000,100,1000,1000,0,1000
